client_id	path	sentence	gender
SPK01_R001	VIVOSSPK01_R001.wav	KHÁCH SẠN	female
SPK01_R002	VIVOSSPK01_R002.wav	CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP	female
SPK01_R003	VIVOSSPK01_R003.wav	TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN	female
SPK01_R004	VIVOSSPK01_R004.wav	ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU	female
SPK01_R005	VIVOSSPK01_R005.wav	KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN	female
SPK01_R006	VIVOSSPK01_R006.wav	TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO	female
SPK01_R007	VIVOSSPK01_R007.wav	MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC	female
SPK01_R008	VIVOSSPK01_R008.wav	CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT	female
SPK01_R009	VIVOSSPK01_R009.wav	CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU	female
SPK01_R010	VIVOSSPK01_R010.wav	CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE	females